"","Genus_Species","Order","Suborder","Family","Subfamily","Genus","Species","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Gill_Presence","Aquatic","Semiaquatic","Terrestrial","Scansorial","Fossorial","Subfossorial","Cave_dwelling","Nocturnal","Diurnal","Paedomorphic","Metamorphosizing","Direct_Development","Free_living","No_free_living","Lentic_water","Lotic_water","Both_water","No_larva","Females_larger","Males_larger","No_SSD"
"21","Ambystoma_macrodactylum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","macrodactylum",73,9.72,2.13413598269404,4.02,3.99,4.005,2.82,2.63,2.725,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"22","Ambystoma_macrodactylum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","macrodactylum",60,3.89,1.57271441390702,3.85,3.82,3.835,2.69,2.58,2.635,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"23","Ambystoma_macrodactylum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","macrodactylum",72,4.93,1.70195852707763,4.37,4.21,4.29,2.49,2.33,2.41,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"24","Ambystoma_macrodactylum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","macrodactylum",59,3.26,1.48276570743149,3.87,3.66,3.765,2.16,2.26,2.21,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"25","Ambystoma_maculatum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","maculatum",63,7.35,1.94429628500738,3.72,3.61,3.665,2.38,2.24,2.31,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"26","Ambystoma_maculatum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","maculatum",90,11.06,2.22801636093179,4.27,4.19,4.23,3.24,2.84,3.04,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"27","Ambystoma_maculatum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","maculatum",84,9.71,2.13340386051559,4.22,3.86,4.04,2.37,2.17,2.27,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"28","Ambystoma_mexicanum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","mexicanum",110,33.75,3.23165203504783,4.6,4.84,4.72,3.24,3.04,3.14,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","yes","no","no"
"29","Ambystoma_mexicanum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","mexicanum",133,74.32,4.20437940774627,5.66,5.55,5.605,2.86,2.65,2.755,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","yes","no","no"
"30","Ambystoma_mexicanum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","mexicanum",126,61,3.93649718310217,4.79,4.7,4.745,2.66,2.88,2.77,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","yes","no","no"
"31","Ambystoma_opacum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","opacum",69,8.68,2.05513288390315,3.72,3.95,3.835,2.82,2.78,2.8,"no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"32","Ambystoma_opacum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","opacum",66,3.9,1.57406091663144,3.9,3.6,3.75,2.75,2.83,2.79,"no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"33","Ambystoma_opacum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","opacum",68,6.83,1.89731847025408,3.62,3.59,3.605,2.92,2.81,2.865,"no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"34","Ambystoma_ordinarium","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","ordinarium",55,6.67,1.88238568417309,2.68,2.78,2.73,2.11,2.09,2.1,"yes","yes","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no",NA,"no","yes"
"35","Ambystoma_rosaceum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","rosaceum",64,11.23,2.23937376201346,3.4,3.21,3.305,2.56,2.46,2.51,"yes","yes","no","no","no","no","no","no","NA","NA","yes","no","no","yes","no","no","yes","no","no","yes","no","no"
"36","Ambystoma_rosaceum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","rosaceum",62,11.64,2.2663013636596,3.41,3.34,3.375,2.44,2.33,2.385,"yes","yes","no","no","no","no","no","no","NA","NA","yes","no","no","yes","no","no","yes","no","no","yes","no","no"
"37","Ambystoma_rosaceum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","rosaceum",63,11.13,2.2327069355366,3.91,4.06,3.985,2.6,2.25,2.425,"yes","yes","no","no","no","no","no","no","NA","NA","yes","no","no","yes","no","no","yes","no","no","yes","no","no"
"38","Ambystoma_talpoideum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","talpoideum",42,1.32,1.09696131048652,2.58,2.49,2.535,1.49,1.63,1.56,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"39","Ambystoma_talpoideum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","talpoideum",51,3.39,1.50221893814599,3.29,3.22,3.255,2.18,2.38,2.28,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"40","Ambystoma_texanum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","texanum",80,7.92,1.99331098682519,3.41,3.16,3.285,2.12,2.16,2.14,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"41","Ambystoma_texanum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","texanum",81,7.51,1.95830340480392,3.26,2.93,3.095,2.2,2.03,2.115,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"42","Ambystoma_texanum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","texanum",63,4.66,1.67030317084277,2.5,2.59,2.545,1.71,1.75,1.73,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"43","Ambystoma_tigrinum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","tigrinum",107,26.84,2.99406232985174,6.18,5.99,6.085,4.1,4.09,4.095,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes"
"44","Ambystoma_tigrinum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","tigrinum",90,22.35,2.81682051997775,5.84,5.22,5.53,3.91,3.96,3.935,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes"
"45","Ambystoma_tigrinum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","tigrinum",96,21.73,2.79052922648204,5.63,5.04,5.335,3.71,3.5,3.605,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes"
"46","Amphiuma_means","Caudata","Salamandroidea","Amphiumidae",NA,"Amphiuma","means",505,323.19,6.86255710782898,NA,NA,NA,4.64,4.2,4.42,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no"
"47","Amphiuma_means","Caudata","Salamandroidea","Amphiumidae",NA,"Amphiuma","means",625,367.02,7.15972887876143,NA,NA,NA,3.92,3.6,3.76,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no"
"48","Amphiuma_means","Caudata","Salamandroidea","Amphiumidae",NA,"Amphiuma","means",499,283.38,6.56835169666637,NA,NA,NA,2.36,2.77,2.565,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no"
"49","Amphiuma_tridactylum","Caudata","Salamandroidea","Amphiumidae",NA,"Amphiuma","tridactylum",635,421,7.49481122585905,NA,NA,NA,3.24,3.41,3.325,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no"
"50","Amphiuma_tridactylum","Caudata","Salamandroidea","Amphiumidae",NA,"Amphiuma","tridactylum",477,138.4,5.17263733388935,NA,NA,NA,2.4,2.9,2.65,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no"
"51","Amphiuma_tridactylum","Caudata","Salamandroidea","Amphiumidae",NA,"Amphiuma","tridactylum",523,154.81,5.36948957531196,NA,NA,NA,2.46,2.62,2.54,"yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no"
"52","Andrias_davidianus","Caudata","Cryptobranchoidea","Cryptobranchidae",NA,"Andrias","davidianus",444,1517,11.4902248376256,NA,NA,NA,3.36,3.98,3.67,"no","yes","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes"
"53","Andrias_davidianus","Caudata","Cryptobranchoidea","Cryptobranchidae",NA,"Andrias","davidianus",232,153,5.34848124123936,NA,NA,NA,4.33,4.91,4.62,"no","yes","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes"
